lon,lat,name
-179.75,89.75,Station_0_0
-178.75,89.75,Station_0_2
-179.25,89.25,Station_1_1
-179.75,88.75,Station_2_0
-179.25,88.75,Station_2_1
-178.75,88.75,Station_2_2
