year,atm_co2
2015,399.95
2016,403.12
2017,405.79
2018,408.76
2019,411.79
2020,414.89
2021,418.06
2022,421.33
2023,424.72
2024,428.22
2025,431.83
2026,435.55
2027,439.38
2028,443.31
2029,447.36
2030,451.51
2031,455.78
2032,460.16
2033,464.68
2034,469.33
2035,474.11
2036,479.02
2037,484.07
2038,489.25
2039,494.57
2040,500.02
2041,505.61
2042,511.34
2043,517.23
2044,523.27
2045,529.46
2046,535.81
2047,542.31
2048,548.98
2049,555.8
2050,562.78
2051,569.93
2052,577.26
2053,584.78
2054,592.51
2055,600.43
2056,608.55
2057,616.87
2058,625.39
2059,634.11
2060,643.04
2061,652.17
2062,661.51
2063,671.04
2064,680.79
2065,690.74
2066,700.9
2067,711.27
2068,721.85
2069,732.65
2070,743.66
2071,754.89
2072,766.32
2073,777.93
2074,789.72
2075,801.69
2076,813.85
2077,826.19
2078,838.73
2079,851.45
2080,864.37
2081,877.48
2082,890.71
2083,903.98
2084,917.3
2085,930.67
2086,944.09
2087,957.57
2088,971.1
2089,984.68
2090,998.32
2091,1012.02
2092,1025.74
2093,1039.45
2094,1053.15
2095,1066.85
2096,1080.53
2097,1094.21
2098,1107.89
2099,1121.55
2100,1135.21
2101,1148.91
