day,cue,rnpp,csoil_sum,csoil_1,csoil_2,csoil_3,csoil_4,aresp,photo
1901-01-01,0.5581893,4.430679,13585.919,41.317013,503.8997,1199.2382,11841.464,1.403276,3.0912323
1901-01-02,0.5434061,4.304773,13585.649,41.296715,503.70242,1199.2437,11841.406,1.3955057,2.9930856
1901-01-03,0.5420894,4.2658153,13585.4,41.287247,503.51486,1199.2488,11841.35,1.3959603,2.9865413
1901-01-04,0.5551443,4.1900806,13585.16,41.28247,503.33157,1199.2538,11841.292,inf,3.0816305
1901-01-05,0.5479673,4.372374,13584.895,41.264236,503.13654,1199.2584,11841.235,inf,3.0472467
1901-01-06,0.54978275,4.4711576,13584.624,41.24433,502.9398,1199.263,11841.177,2.3397264,3.0621116
1901-01-07,0.54521817,4.1243415,13584.371,41.233307,502.75098,1199.2671,11841.12,1.4230145,3.0240242
1901-01-08,0.54652077,4.433395,13584.143,41.23469,502.57373,1199.2711,11841.0625,1.4105923,3.0415792
1901-01-09,0.5435957,4.343817,13583.949,41.253727,502.4135,1199.2747,11841.007,21.10376,3.0268748
1901-01-10,0.53404856,3.8814445,13583.776,41.283314,502.2647,1199.2782,11840.95,3.9132414,2.963478
1901-01-11,0.5509167,4.536944,13583.625,41.322735,502.12677,1199.2814,11840.895,inf,3.0772414
1901-01-12,0.55367607,4.519756,13583.49,41.369076,501.9976,1199.2844,11840.839,1.4104424,3.0962713
1901-01-13,0.5499159,4.437699,13583.389,41.431343,501.88586,1199.2872,11840.784,inf,3.0691626
1901-01-14,0.45512822,2.9759448,13583.308,41.501644,501.7863,1199.2899,11840.7295,3.0858588,2.5248187
1901-01-15,0.5301563,3.9866588,13583.265,41.590034,501.7061,1199.2925,11840.676,1.4117422,2.9244711
1901-01-16,0.46169087,3.080598,13583.233,41.68132,501.63397,1199.2948,11840.623,1.4072056,2.5537844
1901-01-17,0.42181346,2.586981,13583.229,41.784046,501.5773,1199.2971,11840.57,3.5291088,2.3761818
1901-01-18,0.5472024,4.355467,13583.26,41.903664,501.53952,1199.2993,11840.518,1.404888,3.035869
1901-01-19,0.54772407,4.2490816,13583.278,42.01345,501.49863,1199.3015,11840.465,1.4201868,3.049424
1901-01-20,0.5119512,3.7656286,13583.295,42.119236,501.45993,1199.3036,11840.412,8.872259,2.8191648
1901-01-21,0.5605749,4.649435,13583.316,42.22522,501.4259,1199.3057,11840.359,1.4100168,3.1500819
1901-01-22,0.5270769,4.0260973,13583.382,42.351368,501.4152,1199.3077,11840.308,1.4092464,2.917648
1901-01-23,0.4773651,3.1252058,13583.491,42.49671,501.4278,1199.3097,11840.257,1.4219842,2.635198
1901-01-24,0.49812156,3.579854,13583.636,42.65779,501.46054,1199.3116,11840.206,7.7530217,2.752441
1901-01-25,0.40232328,2.156662,13583.795,42.821037,501.50296,1199.3136,11840.157,1.429616,2.306132
1901-01-26,0.5282249,4.031022,13583.973,42.991516,501.55777,1199.3156,11840.107,52.6429,2.9187531
1901-01-27,0.42511007,2.6315446,13584.122,43.142834,501.60385,1199.3176,11840.058,1.4087477,2.3980854
1901-01-28,0.44761896,2.8850293,13584.295,43.30305,501.66388,1199.3197,11840.009,1.4074744,2.4912221
1901-01-29,0.5570418,4.167679,13584.517,43.486267,501.74963,1199.3219,11839.959,1.4467068,3.1230814
1901-01-30,0.5314395,4.1304803,13584.768,43.68047,501.8523,1199.3241,11839.911,13.422957,2.9574523
1901-01-31,0.54193217,4.3258734,13585.056,43.89016,501.97583,1199.3264,11839.863,1.4113624,3.0312147
1901-02-01,0.54166925,4.3357816,13585.339,44.09277,502.1015,1199.3289,11839.815,1.4142897,3.0376635
1901-02-02,0.4907173,3.5298584,13585.627,44.29334,502.2334,1199.3313,11839.769,1.4163909,2.7394435
1901-02-03,0.51515025,3.5748074,13585.99,44.530426,502.40332,1199.334,11839.723,1.4441543,2.8749816
1901-02-04,0.50108296,3.7790995,13586.399,44.78701,502.5981,1199.3367,11839.678,1.421461,2.7898364
1901-02-05,0.5099072,3.7489328,13586.781,45.0237,502.78558,1199.3396,11839.632,59.08756,2.8187985
1901-02-06,0.55412745,4.5229955,13587.204,45.27843,502.99625,1199.3428,11839.587,1.4134088,3.106595
1901-02-07,0.4227208,2.604315,13587.529,45.474506,503.16806,1199.3461,11839.541,1.4121953,2.3913991
1901-02-08,0.5486423,4.404234,13587.923,45.703636,503.3737,1199.3496,11839.496,1.4119492,3.061046
1901-02-09,0.5456531,4.40215,13588.354,45.94915,503.60022,1199.3533,11839.451,1.4140745,3.062406
1901-02-10,0.50554675,3.6921082,13588.793,46.19389,503.83438,1199.3572,11839.407,1.4147481,2.7989247
1901-02-11,0.5388522,4.2494516,13589.242,46.439625,504.07755,1199.3612,11839.363,1.4159335,3.0073667
1901-02-12,0.55208725,4.5075855,13589.686,46.678493,504.32343,1199.3656,11839.318,1.41838,3.1056893
1901-02-13,0.56836087,4.8043633,13589.945,46.81012,504.4935,1199.3705,11839.271,1.4176257,3.2154436
1901-02-14,0.46851864,3.160493,13590.103,46.882206,504.62112,1199.3756,11839.224,1.4153898,2.6017225
