day,cue,rnpp,csoil_sum,csoil_1,csoil_2,csoil_3,csoil_4,aresp,photo
1901-01-01,0.46764937,3.3038652,12779.379,45.02876,517.87823,1215.4324,11001.04,1.5956898,2.8861938
1901-01-02,0.44459352,3.1572046,12779.11,44.912525,517.7214,1215.447,11001.029,inf,2.7710075
1901-01-03,0.47758648,3.634713,12778.831,44.793636,517.55707,1215.4617,11001.019,inf,2.9438658
1901-01-04,0.47502998,3.6100764,12778.551,44.677296,517.38965,1215.4762,11001.008,3.437108,2.9314094
1901-01-05,0.48622838,3.7681844,12778.244,44.549202,517.20703,1215.4905,11000.997,1.6906632,3.0042217
1901-01-06,0.4544852,3.3141115,12777.961,44.43747,517.0329,1215.5045,11000.986,2.51728,2.8205159
1901-01-07,0.46450508,3.4337566,12777.652,44.314846,516.8445,1215.5183,11000.975,1.5858365,2.879772
1901-01-08,0.48812425,3.796461,12777.357,44.202335,516.6592,1215.532,11000.964,1.5859488,3.0148141
1901-01-09,0.47339222,3.6315665,12777.053,44.08719,516.4668,1215.5454,11000.953,1.5855259,2.9348552
1901-01-10,0.49297822,3.8997753,12776.805,44.00551,516.29834,1215.5583,11000.942,1.5820308,3.0363705
1901-01-11,0.49896893,4.022276,12776.543,43.918503,516.1217,1215.5712,11000.932,1.5851312,3.086966
1901-01-12,0.4746087,3.6527297,12776.275,43.830322,515.9407,1215.5837,11000.921,1.587276,2.9574237
1901-01-13,0.41557306,2.817897,12775.976,43.726784,515.74274,1215.5961,11000.91,1.5893983,2.649092
1901-01-14,0.4891332,3.7994967,12775.73,43.655586,515.56824,1215.6082,11000.898,1.5883266,3.0188205
1901-01-15,0.42760745,2.9487839,12775.511,43.598686,515.4039,1215.6199,11000.889,1.5865339,2.6951199
1901-01-16,0.40896115,2.721751,12775.295,43.544952,515.24023,1215.6313,11000.878,1.5829711,2.612711
1901-01-17,0.45464104,3.3415213,12775.095,43.501503,515.0834,1215.6425,11000.867,1.5850999,2.8280787
1901-01-18,0.47225314,3.5750923,12774.924,43.474556,514.9394,1215.6534,11000.856,3.44022,2.9211428
1901-01-19,0.48160997,3.7549646,12774.742,43.442238,514.78986,1215.6642,11000.846,1.5861433,2.9902804
1901-01-20,0.4627847,3.4967778,12774.584,43.42288,514.65106,1215.6747,11000.835,inf,2.8934133
1901-01-21,0.46289435,3.4649775,12774.473,43.428566,514.53394,1215.6849,11000.825,1.5842407,2.880845
1901-01-22,0.46793374,3.5497878,12774.389,43.448814,514.4304,1215.6948,11000.814,1.7985915,2.9129417
1901-01-23,0.47071323,3.577705,12774.368,43.501564,514.35706,1215.7046,11000.805,1.5828719,2.921456
1901-01-24,0.4458089,3.216109,12774.327,43.542503,514.2763,1215.7141,11000.794,1.5859432,2.790483
1901-01-25,0.4911723,3.8770201,12774.279,43.578167,514.19275,1215.7236,11000.784,1.5870159,3.03738
1901-01-26,0.48511901,3.7747545,12774.137,43.56336,514.0669,1215.7334,11000.773,1.5863296,2.9988124
1901-01-27,0.35894552,2.1809373,12775.506,44.351414,514.6483,1215.7386,11000.768,1.5853835,2.4111757
1901-01-28,0.45268494,3.2962744,12776.906,45.145874,515.25494,1215.7443,11000.762,4.732518,2.8201582
1901-01-29,0.47066057,3.586243,12778.334,45.943516,515.8838,1215.7502,11000.757,1.5864321,2.9281878
1901-01-30,0.4651363,3.4598475,12779.756,46.728085,516.5209,1215.7565,11000.751,1.5831758,2.878716
1901-01-31,0.50295615,4.04034,12781.16,47.492302,517.1598,1215.7633,11000.745,1.5821692,3.0935051
1901-02-01,0.44615746,3.1995804,12782.568,48.248623,517.80975,1215.7705,11000.739,1.5846384,2.7835152
1901-02-02,0.46287042,3.4557023,12783.988,49.001904,518.47424,1215.778,11000.734,1.5875353,2.8812635
1901-02-03,0.44938907,3.2799053,12785.414,49.74924,519.15027,1215.7858,11000.729,1.5900476,2.8181725
1901-02-04,0.47697315,3.6699455,12786.899,50.521275,519.8606,1215.7938,11000.724,1.5892009,2.9624462
1901-02-05,0.45207566,3.2614613,12788.036,51.082264,520.4322,1215.8037,11000.718,1.5806208,2.8028858
1901-02-06,0.4781017,3.6505077,12789.145,51.619648,520.99994,1215.8142,11000.711,1.5839099,2.9503715
1901-02-07,0.44499972,3.1647706,12790.275,52.162277,521.58325,1215.825,11000.705,1.5808711,2.7671018
1901-02-08,0.4580242,3.3678896,12791.4375,52.716007,522.18646,1215.8358,11000.699,1.5844785,2.8457344
1901-02-09,0.46565065,3.539761,12792.619,53.273926,522.8045,1215.847,11000.693,1.588105,2.9120798
1901-02-10,0.46721986,3.5821383,12793.828,53.841248,523.44055,1215.8585,11000.6875,1.5906497,2.9301226
1901-02-11,0.4608665,3.4592931,12795.1,54.43885,524.10846,1215.8701,11000.682,1.589618,2.8839393
1901-02-12,0.45981246,3.4064853,12796.375,55.032406,524.7854,1215.882,11000.676,1.5899552,2.865556
1901-02-13,0.49356464,3.9081252,12797.56,55.562195,525.4328,1215.8948,11000.67,1.5882953,3.050443
1901-02-14,0.50561607,4.078022,12798.763,56.096004,526.0934,1215.908,11000.665,1.5914633,3.1260254
1901-02-15,0.4943669,3.956484,12799.944,56.611378,526.75214,1215.9216,11000.659,3.6045737,3.069487
1901-02-16,0.44114447,3.251393,12801.154,57.13913,527.4267,1215.9354,11000.653,4.1606164,2.810859
1901-02-17,0.45754722,3.4797442,12802.41,57.688423,528.12476,1215.9493,11000.647,1.5957304,2.8966992
1901-02-18,0.40252694,2.6951802,12803.718,58.264355,528.8477,1215.9633,11000.643,1.5948491,2.6055207
1901-02-19,0.43963024,3.2384133,12805.1045,58.882904,529.60693,1215.9769,11000.638,1.5955349,2.8067548
1901-02-20,0.42978057,3.1126783,12806.574,59.547497,530.4033,1215.9905,11000.633,1.5957519,2.7602198
1901-02-21,0.39267826,2.5874276,12808.115,60.251446,531.23236,1216.0038,11000.628,1.5974091,2.5680351
1901-02-22,0.47525734,3.6538641,12809.705,60.977486,532.08673,1216.0172,11000.624,1.5944389,2.9617374
1901-02-23,0.47054335,3.582108,12811.087,61.564655,532.8715,1216.0327,11000.618,1.5953823,2.9360957
1901-02-24,0.48071256,3.7295113,12812.245,62.00117,533.58026,1216.0505,11000.613,1.5954665,2.9910862
1901-02-25,0.4358774,3.0769346,12813.278,62.35395,534.2477,1216.0696,11000.607,1.591058,2.7447078
1901-02-26,0.48701915,3.7958815,12814.376,62.742916,534.9424,1216.0887,11000.602,1.5885594,3.0090008
1901-02-27,0.48302844,3.7833667,12815.527,63.163433,535.66034,1216.1078,11000.596,1.5924524,3.0074825
1901-02-28,0.41229218,2.807047,12816.725,63.610165,536.3966,1216.1266,11000.591,1.594316,2.6465886
1901-03-01,0.48285446,3.7515116,12817.652,63.875706,537.0437,1216.1484,11000.585,1.5927938,2.9965482
1901-03-02,0.49686185,4.0139003,12818.585,64.14019,537.6946,1216.1708,11000.579,1.5965731,3.0972877
1901-03-03,0.41472304,2.822808,12819.504,64.39545,538.3417,1216.1935,11000.573,1.5975567,2.6564846
1901-03-04,0.48415786,3.767218,12820.416,64.64197,538.99005,1216.2168,11000.567,1.591969,3.0015357
1901-03-05,0.43325746,3.106943,12821.395,64.930756,539.6622,1216.2397,11000.562,1.5928789,2.755848
1901-03-06,0.4768961,3.6631646,12822.383,65.22221,540.34186,1216.2631,11000.556,1.5926001,2.9634182
1901-03-07,0.49277323,3.9012802,12823.334,65.48531,541.0114,1216.2872,11000.55,1.5923133,3.0517752
1901-03-08,0.45339304,3.3085666,12824.144,65.65315,541.63306,1216.3132,11000.544,1.5923083,2.8319066
1901-03-09,0.4925447,3.9037247,12824.821,65.73181,542.2114,1216.3412,11000.537,1.5940912,3.0546288
1901-03-10,0.5130571,4.2484837,12825.323,65.69251,542.72906,1216.3715,11000.53,1.5938796,3.1823363
1901-03-11,0.48618653,3.8228886,12825.74,65.599045,543.2147,1216.4031,11000.523,1.5987725,3.0289857
1901-03-12,0.49044198,3.8709424,12826.023,65.41996,543.6518,1216.4365,11000.516,1.5952605,3.0436168
1901-03-13,0.40213984,2.678178,12825.287,64.573975,543.7258,1216.4816,11000.506,1.5929894,2.5985744
1901-03-14,0.20725879,1.0022613,12824.322,63.600563,543.6964,1216.529,11000.496,1.5899062,1.8758054
1901-03-15,0.3586742,2.213406,12823.407,62.681126,543.6645,1216.5765,11000.485,1.5896547,2.4209256
1901-03-16,0.47600493,3.6500783,12822.45,61.753345,543.5968,1216.6251,11000.475,1.5943893,2.960632
1901-03-17,0.5032522,4.1107397,12821.463,60.82843,543.496,1216.6742,11000.464,1.5960672,3.132811
1901-03-18,0.48726857,3.8584845,12820.448,59.909283,543.36176,1216.7238,11000.453,1.5979838,3.0410118
1901-03-19,0.49515718,3.9553597,12819.495,59.05165,543.22815,1216.7728,11000.442,1.5957586,3.0752022
1901-03-20,0.4657238,3.5026886,12818.553,58.22201,543.0764,1216.8217,11000.433,1.597427,2.908887
1901-03-21,0.49848685,4.0090833,12817.67,57.449776,542.9277,1216.8701,11000.422,1.5961156,3.0956542
1901-03-22,0.44273573,3.1769156,12816.831,56.725178,542.77655,1216.918,11000.411,1.5956095,2.7863526
