day,cue,rnpp,csoil_sum,csoil_1,csoil_2,csoil_3,csoil_4,aresp,photo
1901-01-01,0.30868062,1.6291512,12902.174,51.13056,553.5132,1288.9941,11008.536,1.5479047,2.143754
1901-01-02,0.42446753,2.7591035,12902.338,51.166046,553.6076,1289.0118,11008.553,1.5478212,2.5805058
1901-01-03,0.45922703,3.212816,12902.426,51.157684,553.6689,1289.03,11008.569,1.550074,2.7504842
1901-01-04,0.46095443,2.7434998,12902.474,51.126396,553.7117,1289.0486,11008.587,1.5968763,2.762135
1901-01-05,0.50515085,3.6394954,12902.525,51.098564,553.75586,1289.0671,11008.604,1.5165995,3.017772
1901-01-06,0.4618476,3.2592568,12902.602,51.084785,553.8097,1289.0856,11008.621,inf,2.7656062
1901-01-07,0.4475923,2.569021,12902.647,51.05526,553.8503,1289.1042,11008.638,1.5959439,2.6943274
1901-01-08,0.47446173,2.9599736,12902.658,51.00556,553.87384,1289.1232,11008.655,1.4728869,2.836102
1901-01-09,0.49937317,3.600084,12902.711,50.98171,553.91565,1289.1418,11008.672,1.4910645,2.9777493
1901-01-10,0.49738434,4.03705,12902.745,50.947044,553.9479,1289.1606,11008.689,1.5642236,2.9686646
1901-01-11,0.44474977,3.1289308,12902.84,50.947903,554.00635,1289.1792,11008.706,1.5551656,2.6775546
1901-01-12,0.5131786,4.093827,12902.988,50.97894,554.0886,1289.1975,11008.723,1.5500401,3.055555
1901-01-13,0.49602535,3.7517476,12903.159,51.022316,554.18146,1289.2158,11008.739,31.045816,2.9496017
1901-01-14,0.46863335,3.347433,12903.271,51.031258,554.24854,1289.2345,11008.757,1.5517434,2.802136
1901-01-15,0.45361125,3.1349978,12903.39,51.044518,554.31903,1289.253,11008.773,1.5506543,2.7223573
1901-01-16,0.522324,4.2291617,12903.515,51.060715,554.3924,1289.2719,11008.79,1.5515302,3.1280746
1901-01-17,0.48311946,3.558423,12903.652,51.083935,554.4715,1289.2906,11008.807,1.5509784,2.879506
1901-01-18,0.47810924,3.4876814,12903.78,51.10132,554.5466,1289.3094,11008.823,1.5515565,2.853761
1901-01-19,0.4909676,3.6807773,12903.926,51.12832,554.6297,1289.3282,11008.84,1.5509253,2.9254682
1901-01-20,0.46453375,3.2821116,12904.094,51.167458,554.7231,1289.347,11008.856,1.7502036,2.7763262
1901-01-21,0.30421984,1.5911505,12904.291,51.22294,554.82996,1289.3655,11008.873,1.5470165,2.1265898
1901-01-22,0.498957,3.7959409,12904.504,51.285572,554.9447,1289.3843,11008.89,1.5478551,2.9645054
1901-01-23,0.46393335,3.2755916,12904.64,51.30366,555.02655,1289.4034,11008.906,1.5501478,2.774007
1901-01-24,0.46337458,3.2662966,12904.788,51.328384,555.11395,1289.4227,11008.923,1.5495265,2.7700555
1901-01-25,0.47984493,3.5034575,12904.936,51.35257,555.20166,1289.442,11008.939,1.5493695,2.857676
1901-01-26,0.47872722,3.489826,12905.076,51.37226,555.28644,1289.4614,11008.956,1.5502762,2.8535366
1901-01-27,0.50626034,3.924111,12905.229,51.397896,555.3765,1289.481,11008.973,1.5500267,3.014088
1901-01-28,0.44140744,2.9729416,12905.392,51.429817,555.47186,1289.5004,11008.989,1.5490748,2.6610212
1901-01-29,0.49325487,3.709298,12905.563,51.465813,555.57153,1289.5199,11009.006,1.5492793,2.9338262
1901-01-30,0.49311867,3.7182164,12905.6875,51.474213,555.6507,1289.5398,11009.022,1.5512139,2.9388251
1901-01-31,0.45599082,3.1704605,12905.775,51.461895,555.7136,1289.5599,11009.04,1.5515846,2.7363877
1901-02-01,0.45567575,3.1643178,12905.824,51.42796,555.7589,1289.5804,11009.057,1.5509738,2.7335262
1901-02-02,0.50508314,3.9180946,12905.909,51.415085,555.81934,1289.6007,11009.074,1.5512024,3.012725
1901-02-03,0.48875034,3.642877,12906.026,51.42123,555.89386,1289.6208,11009.091,1.5504758,2.910347
1901-02-04,0.20834266,0.91784686,12906.225,51.473637,556.0036,1289.6404,11009.107,1.5439676,1.7963232
1901-02-05,0.41764957,2.660927,12906.476,51.554962,556.13806,1289.6598,11009.123,1.5411417,2.537518
1901-02-06,0.45993754,3.2045686,12906.689,51.61328,556.2573,1289.6797,11009.14,1.5445266,2.7420847
1901-02-07,0.44051185,2.9494803,12906.906,51.67246,556.37897,1289.6996,11009.155,1.5445913,2.6478324
1901-02-08,0.38922718,2.3556287,12907.168,51.755547,556.5208,1289.7192,11009.172,1.5414095,2.4239578
1901-02-09,0.476063,3.437119,12907.373,51.8051,556.6396,1289.7394,11009.188,1.5450672,2.8287747
1901-02-10,0.519551,4.219473,12907.414,51.760616,556.68713,1289.7609,11009.205,1.5513965,3.1238618
1901-02-11,0.46767554,3.3399975,12907.415,51.694233,556.7155,1289.7825,11009.223,1.5503709,2.797724
1901-02-12,0.4699076,3.3747702,12907.365,51.60038,556.71985,1289.8046,11009.24,1.5521331,2.8124032
1901-02-13,0.4944599,3.7609673,12907.304,51.50234,556.7171,1289.8267,11009.258,1.5522714,2.9553509
1901-02-14,0.49606133,3.7686453,12907.318,51.449154,556.74536,1289.8484,11009.275,1.5496544,2.9557848
1901-02-15,0.5001534,3.854717,12907.297,51.377228,556.7568,1289.8702,11009.293,1.5520856,2.989864
