2006	380.83
2007	382.78
2008	384.80
2009	387.00
2010	389.29
2011	391.56
2012	393.84
2013	396.12
2014	398.40
2015	400.68
2016	402.97
2017	405.25
2018	407.53
2019	409.80
2020	412.07
2021	414.33
2022	416.52
2023	418.60
2024	420.60
2025	422.52
2026	424.35
2027	426.10
2028	427.75
2029	429.31
2030	430.78
2031	432.16
2032	433.44
2033	434.59
2034	435.65
2035	436.63
2036	437.52
2037	438.33
2038	439.06
2039	439.69
2040	440.22
2041	440.66
2042	441.02
2043	441.35
2044	441.62
2045	441.86
2046	442.08
2047	442.28
2048	442.46
2049	442.60
2050	442.70
2051	442.75
2052	442.76
2053	442.73
2054	442.66
2055	442.55
2056	442.41
2057	442.25
2058	442.08
2059	441.89
2060	441.67
2061	441.42
2062	441.13
2063	440.80
2064	440.43
2065	440.01
2066	439.54
2067	439.05
2068	438.54
2069	438.02
2070	437.48
2071	436.92
2072	436.34
2073	435.76
2074	435.18
2075	434.60
2076	434.00
2077	433.38
2078	432.78
2079	432.19
2080	431.62
2081	431.06
2082	430.51
2083	429.96
2084	429.41
2085	428.86
2086	428.30
2087	427.73
2088	427.14
2089	426.57
2090	426.00
2091	425.46
2092	424.94
2093	424.43
2094	423.93
2095	423.43
2096	422.93
2097	422.43
2098	421.92
2099	421.40
2100	421.00
