CD_GEOCODM,NM_MUNICIP,xcoord,ycoord,xindex,yindex
"1301902",ITACOATIARA,-58.777286889886419,-3.174638678483499,242,186
"1302603",MANAUS,-60.259628014234551,-2.625919382726726,239,185
"1304005",SILVES,-58.536271404470405,-2.822129621933120,243,186
"1501402",BELEM,-48.459913432696467,-1.240710706343697,263,182
 
